ano,mes,sigla_uf,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,quantidade_horas_contratadas,salario_mensal,indicador_aprendiz,indicador_portador_deficiencia,cbo_2002,grau_instrucao,idade,sexo,raca_cor,previsao
2019,6,AM,0,1,6,2,44,3797.0,0,0,3,7,22,0,8.0,0
2019,7,AM,0,1,11,7,44,1353.0,0,0,7,7,19,1,4.0,0
2018,5,AM,0,1,11,1,44,1050.0,0,0,5,7,24,1,9.0,0
2019,11,AM,0,1,11,5,44,1676.0,0,0,4,7,30,1,8.0,0
2019,10,AM,0,1,11,2,36,1092.0,0,1,5,7,33,1,8.0,0
2018,4,AM,0,1,11,9,44,2732.0,0,0,3,9,40,1,9.0,0
2018,5,AM,0,1,11,2,44,980.0,0,0,5,7,53,0,8.0,0
2018,2,AM,0,1,11,4,36,1033.0,0,0,5,7,21,1,8.0,0
2019,10,AM,0,1,11,1,44,3242.0,0,0,2,9,28,0,8.0,0
2018,7,AM,0,3,11,1,44,995.0,0,0,7,7,33,1,8.0,0
2018,7,AM,0,1,11,2,44,954.0,0,0,2,9,21,1,8.0,0
2019,2,AM,0,1,11,4,44,998.0,0,0,7,7,35,1,9.0,0
2018,5,AM,1,1,25,8,44,4186.0,0,0,9,8,47,1,8.0,1
2018,7,AM,1,1,25,8,44,1130.0,0,0,7,7,21,0,8.0,1
2019,9,AM,1,1,25,7,24,499.0,1,0,4,7,23,0,8.0,1
2019,2,AM,1,1,25,8,44,1245.0,0,0,5,5,41,1,8.0,1
2019,2,AM,1,1,25,4,44,1090.0,0,0,5,7,44,1,8.0,1
2019,1,AM,1,1,25,6,40,4209.0,0,0,4,9,40,0,8.0,1
2019,7,AM,1,1,25,6,44,1090.0,0,0,5,7,25,1,8.0,1
2018,9,AM,0,1,43,6,44,970.0,0,0,8,7,20,1,8.0,0
2019,7,AM,0,1,43,5,20,499.0,1,0,4,6,19,1,8.0,0
2019,11,AM,0,1,43,6,44,1313.0,0,0,7,7,25,1,8.0,0
2019,8,AM,0,1,33,1,44,1090.0,0,0,5,7,37,0,8.0,0
2019,5,AM,1,1,2,5,44,998.0,0,0,5,7,22,1,8.0,1
2019,2,AM,0,1,6,9,20,494.0,1,0,4,6,17,1,8.0,0
